WO,Machine_categori,Machine_description,Instruction,Short_description,Technicians_description,Spareparts,Costumer_mistake_mads,Invoiced
WO045581,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer ingen mælk ved mælkedrikke Har efterset mælkesug og mælk i beholder ,Kommer ingen mælk ved mælkedrikke Har efterset mælkesug og mælk i beholder,,128896,Ja,Nej
WO045583,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Der er mug i mælkeslangen Niels Jernes Vej 12 Novi 2 Køkken,Der er mug i mælkeslangenNiels Jernes Vej 12 Novi 2 Køkken,ASA Placeringer er rettet til SOH 9 7 24 Man kan komme ind til kunden af to indgange Maskinens placering er i køkken kantine i højre afdeling hvis man går ind via NOVI 2 Benytter man NOVI 4 ligger afdelingen til venstre Deres anden maskine SN#200159249 ligger på modsatte side altså til venstre i lille køkken hvis man bruger indgang NOVI 2 og til højre hvis man bruger NOVI 4 Ifølge teknikerens oplysninger kan en BW4c ikke lave produkter hverken med eller uden mælk hvis der ikke gennemføres rens når maskinen Beder om det Det må derfor formodes at kunden gennemføre rens når maskinen Beder om det  ASA Kan ikke se forskel på maskiners placering da det er skrevet på samme måde Tekniker må se ind i køleskabene efter hvilken der er mug i Noter placering så det kan rettes til ASA Hun fortæller at den nogle weekender står med mælk i slanger Jeg har info at de kan rengøre maskinen inden de tager hjem fredag og lader være med at stille mælk i den igen så brugere kun kan tage drikke uden mælk Det overvejer hun at gøre da hun synes nuværende måde er noget griseri Tekniker skal vurdere om kunden bør betale ud fra rengøringshistorik Tjek om der køres rengøring når den beder om det Hvis ikke må de betale for at vi skifter slangen ud ,140720,Ja,Nej
WO045573,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Utæt under rens Løber ud under maskinen ,Utæt under rens Løber ud under maskinen,,,Ja,Nej
WO045586,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder vandflow fejl Indmeldt af afløser 50 16 36 80 ,Melder vandflow fejl Indmeldt af afløser 50 16 36 80,"De spørger efter et hurtigt besøg dem på T11 er ""afhængige af kaffe""  Meldte vandflow fejl under rens i går kørte ok bagefter her til morgen er der vandflow fejl igen ",104360,Nej,Nej
WO045541,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Melder at den mangler bønner Tjek om netværksforbindelse er etableret Kan se den i TP Connect om den ikke er online ,Melder at den mangler bønnerTjek om netværksforbindelse er etableret Kan se den i TP Connect om den ikke er online,Ringet ind søndag men vil vente til mandag Bønnebeholder ombyttes med Bentax værksted,,Ja,Nej
WO045584,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kommer vand ud under maskine højre side Ligner at det kommer inde ved grumsebakken ,Kommer vand ud under maskine højre side Ligner at det kommer inde ved grumsebakken,Opg lækage ved højre forben Ved tidligere service besøg er der desværre faldet en kaffebønne ned i nedfald til kaffe skylleventil ,,Nej,Nej
WO043251,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder at der ingen mælk er i beholder og under rens kommer der vand midt under maskine ligner sæbevand ,Melder at der ingen mælk er i beholder og under rens kommer der vand midt under maskine ligner sæbevand,Sendt mail til Karina 1 5 NRB,,Nej,Nej
WO045503,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Lækker vand under bunden Mest i højre side ,Lækker vand under bunden Mest i højre side,Kunde har Carimali i frokoststuen  ASA Tekniker må gerne se efter om de også har en Carimali Philipa sagde at de kun har 1 maskine men de er registreret med 2 maskiner og har aftale til 2 maskiner Hvis de kun har 1 skal sælger informeres ,,Måske,Nej
WO045563,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,2 gange imens der udleveres kaffe er der meldt komponentfejl 1 gang i forbindelse med rengøring er der meldt komponentfejl ,2 gange imens der udleveres kaffe er der meldt komponentfejl 1 gang i forbindelse med rengøring er der meldt komponentfejl,,101044;129071;127140;128896;120701;120701,Nej,Nej
WO045502,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder vandflowfejl ifm rengøringsprogram Har startet rengøringsprogram forfra begge tabletter var opløst Ved ikke hvilket trin den kom til ,Melder vandflowfejl ifm rengøringsprogram Har startet rengøringsprogram forfra begge tabletter var opløst Ved ikke hvilket trin den kom til,,,Måske,Nej
WO045506,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Efter service larmer den lige når den starter med at brygge Den er blevet langsomere til at brygge kaffe Ferielukket uge 29+30,Efter service larmer den lige når den starter med at brygge Den er blevet langsomere til at brygge kaffeFerielukket uge 29+30,Ferielukket uge 29+30,,Nej,Nej
WO045549,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,2 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm Inden den gik i sort skrev maskinen noget med varme til vand ,2 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm Inden den gik i sort skrev maskinen noget med varme til vand,,,Måske,Nej
WO045548,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,1 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm ,1 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm,,,Ja,Nej
WO045524,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Der er meget vand i grumsebakke ,Der er meget vand i grumsebakke,,,Nej,Nej
WO045540,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Siger milk temp to high Siger køleskabet er koldt,Siger milk temp to high Siger køleskabet er koldt,Kunden er informeret om pris på udkald og kunne ikke vente til i morgen JT Havde et der var skrevet ud ,,Nej,Ja
WO045487,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Der løber væske ud af maskinen Drypbakke er skubbet helt ind Har prøvet at rengøre drypbakke måske noget sidder ved afløbshul hvor drypbakke udløb skal være ,Der løber væske ud af maskinen Drypbakke er skubbet helt ind Har prøvet at rengøre drypbakke måske noget sidder ved afløbshul hvor drypbakkeudløb skal være,Garanti tæller 44810 men kan ikke notere under 88000 ASA noteret i egenskabsloggen ,,Ja,Ja
WO045513,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Fejlkode 9 Statusstyreenhed har registreret et problem Kunden har forsøgt at slukke og tænde Alle ikoner for mælkedrikke er forsvundet fra skærmen Hun har kun Americano og et par andre ,Fejlkode 9 Statusstyreenhed har registreret et problem Kunden har forsøgt at slukke og tænde Alle ikoner for mælkedrikke er forsvundet fra skærmen Hun har kun Americano og et par andre,Hun spørger om vi kan komme i dag så den virker henover weekenden,104797,Nej,Nej
WO045476,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Når de tager drikke melder den komponentfejl Når de starter rengøring stopper den ca halvvejs i rengøringsprogrammet ,Når de tager drikke melder den komponentfejl Når de starter rengøring stopper den ca halvvejs i rengøringsprogrammet,ASA 8 7 samme fejl komponentfejl er kommet igen efter dette besøg Denne U B ,,Måske,Nej
WO045472,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Melder tom på beholder 1 Pal for åbning af beholder kan ikke dreje mere imod åben ,Melder tom på beholder 1 Pal for åbning af beholder kan ikke dreje mere imod åben,Skiftet modul nyt SN B1 38856B Gammelt SN B1 138377B ,125033R,Nej,Nej
WO045478,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,indmeldt af kvinde 96 52 59 00 Maskinen er utæt under bunden og vil ikke suge mælk op Hun har tjekket at sien i bunden af mælkeslangen er ren ,indmeldt af kvinde 96 52 59 00 Maskinen er utæt under bunden og vil ikke suge mælk op Hun har tjekket at sien i bunden af mælkeslangen er ren,indmeldt af kvinde 96 52 59 00 ,120701;125723,Nej,Nej
WO045511,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Skift af backup batteri,Skift af backup batteri,,02816,Nej,Nej
WO045497,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Efter 2 3 kopper mælkedrikke meldes der tom for mælk Mælkebeholder er helt fyldt op føler er helt nede i mælken Tages mælkebeholder og og sættes i igen kan den give 2 3 kopper mælkedrikke igen og melder så igen at mælkebeholder er tom ,Efter 23 kopper mælkedrikke meldes der tom for mælk Mælkebeholder er helt fyldt op føler er helt nede i mælken Tages mælkebeholder og og sættes i igen kan den give 23 kopper mælkedrikke igen og melder så igen at mælkebeholder er tom,ASA Meldt ind af NCB ,127166,Nej,Nej
WO045464,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,"Indmeldt telefonisk 28 11 81 12 Maskinen vil ikke registre tabs i den røde rensenøgle Hun siger den plejer at gå ""stramt"" som den skal den er ikke stram længere ","Indmeldt telefonisk 28 11 81 12 Maskinen vil ikke registre tabs i den røde rensenøgle Hun siger den plejer at gå ""stramt"" som den skal den er ikke stram længere",,133555,Ja,Ja
WO045423,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder rengøringsprogram er afbrudt Ved ikke hvornår i programmet den stopper ,Melder rengøringsprogram er afbrudt Ved ikke hvornår i programmet den stopper,,,Nej,Nej
WO045424,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Indmeldt af JOH maskinen er utæt og lækker vand VIGTIGT Der skal monteres en Kilo Autotamper i Brasserie Kunsten ved deres Faema denne tages med fra Bentax lager Jeg laver særskilt ordre WO045425 på den ,Indmeldt af JOH maskinen er utæt og lækker vand VIGTIGT Der skal monteres en Kilo Autotamper i Brasserie Kunsten ved deres Faema denne tages med fra Bentax lager Jeg laver særskilt ordre WO045425 på den,SOH 4 7 24 Reservedele er ikke på lager i min bil men er bestilt Reservedele er lånt fra Servicekit Bi Lede af manglende rengøring har ikke noget at gøre med fejlen på maskinen ,120257,Nej,Nej
WO045345,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ring og aftalk tid for besøg da der ellers er låst Er stoppet til ved kakaomotor lugter meget grimt Kakao virkede indtil for en uge siden Ønsker oprensning af kakaomotor,Ring og aftalk tid for besøg da der ellers er låstEr stoppet til ved kakaomotor lugter meget grimt Kakao virkede indtil for en uge siden Ønsker oprensning af kakaomotor,ASA Ingen serviceaftale ,131816,Ja,Ja
WO045441,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ringet ind af NCB Registrere ikke bønnerne korrekt ,Ringet ind af NCB Registrere ikke bønnerne korrekt,Vil gerne have tilsendt 2 andre beholder med flad åbning sendes til kar ASA De er sendt Husk at notere placering af maskine,,Nej,Nej
WO045450,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskine 5 sal kaffeø Ved kakao kommer der kun vand ud Der er tjekket at kakaobeholder er åben og der er ingen blokader i slangerne ,Maskine 5 sal kaffeøVed kakao kommer der kun vand ud Der er tjekket at kakaobeholder er åben og der er ingen blokader i slangerne,ASA Tjek om serienummer er korrekt Jeg har ikke registreret kaffeø på nogle af maskinerne ,,Måske,Nej
WO045435,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vand under maskine ved ikke hvorfra Så det efter endt rengøringsprogram ,Vand under maskine ved ikke hvorfra Så det efter endt rengøringsprogram,ASA Indmelder hed måske Louise tlf 36324000,,Ja,Ja
WO045437,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Fra mail utæt cacao beholder pulveret siver ud og lander på gulvet,Fra mail utæt cacao beholder pulveret siver ud og lander på gulvet,ASA talt med Kikki Det er noget i den måde som pulveret løber ned i maskinen på Det falder ved siden af tragten og ned på gulvet Kan ikke uddybe mere ASA Indmeldt af Christian fra Kontra ,,Nej,Nej
WO045408,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen drypper nede under Er set i forbindelse med at der tages kaffe ,Maskinen drypper nede under Er set i forbindelse med at der tages kaffe,,,Nej,Nej
WO045398,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskine melder vandflowfejl ofte ved Americano eller thevand Bliver de ved med at trykke udleverer den til sidst ,Maskine melder vandflowfejl ofte ved Americano eller thevand Bliver de ved med at trykke udleverer den til sidst,,,Nej,Nej
WO045357,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC MDB-T,Ring og info tid for besøg med navn Har en frikøbskode ønsker denne ændres til ny kode aftal hvilken kode med Nicolaj Udlevere ikke mælk ved mælkedrikke Melder ikke noget omkring mælkedrikkene ,Ring og info tid for besøg med navnHar en frikøbskode ønsker denne ændres til ny kode aftal hvilken kode med Nicolaj Udlevere ikke mælk ved mælkedrikke Melder ikke noget omkring mælkedrikkene,,,Ja,Ja
WO045393,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC extern grums,Kaffegrums fanges i maskine i stedet for at falde i grumsudkast affaldsspand i skab under maskinen ,Kaffegrums fanges i maskine i stedet for at falde i grumsudkast affaldsspand i skab under maskinen,ASA Jeg er meget i tvivl om fejlmeldingen er korrekt forstået da vi startede med at tale om at kaffegumler er i en lille spand ,,Nej,Nej
WO045373,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskine vil ikke starte Ikke lys i knap Kollega oplyser at den gik ud til sidst i rengøring i går nat ,Maskine vil ikke starte Ikke lys i knap Kollega oplyser at den gik ud til sidst i rengøring i går nat,Jeg spurgte om der var strøm i stikkontakten og det mente hun at der var NRB,,Nej,Nej
WO045337,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen er utæt når de kører rens Kommer ud ved kakao siden ca 0 5 liter Også nogle gang utæt ved udlevering af kakao ,Maskinen er utæt når de kører rens Kommer ud ved kakaosiden ca 05 liter Også nogle gang utæt ved udlevering af kakao,,,Ja,Nej
WO045286,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Som om den går i stå når den kværner Meldte noget d 26 6 et udråbstegn kan ikke huske hvad den sagde Når de lukker og åbner for bønnebeholder virker maskinen i lidt tid men driller så igen indtil de igen lukker åbner bønnebeholder ,Som om den går i stå når den kværner Meldte noget d 26 6 et udråbstegn kan ikke huske hvad den sagdeNår de lukker og åbner for bønnebeholder virker maskinen i lidt tid men driller så igen indtil de igen lukker åbner bønnebeholder,,104207;104818;104209;104360,Nej,Nej
WO045333,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskinen vil ikke kørt korrekt rens Den tager ikke tabs og efter få sekunder siger den at rens er færdig Genstart virker ikke Kalder samtidig på filterskift ,Maskinen vil ikke kørt korrekt rens Den tager ikke tabs og efter få sekunder siger den at rens er færdig Genstart virker ikke Kalder samtidig på filterskift,HKN det var i den blå rensenøgle der var tabs i Jeg er 99 9% sikker på at det er kunden der har sat tabs i den blå rensenøgle selv om den ikke har bedt om tabs da den nok ikke har lavet nogen drikke med mælk og derfor ikke rengøring mælk siden sidste rengøring ,,Ja,Nej
WO045313,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Mælkepumpe virker ikke ,Mælkepumpe virker ikke,Meldt ind af AA Maskinen står ved world of coffee messen ,,Ja,Nej
WO045305,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Lækker vand fra maskine Ligner det er ved vandtilførsel ,Lækker vand fra maskine Ligner det er ved vandtilførsel,,,Ja,Nej
WO045288,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao stopper til Har forsøgt at rengøre selv men er tilstoppet længere nede ,Kakao stopper til Har forsøgt at rengøre selv men er tilstoppet længere nede,Han mistænker selv en kaffebønne NRB Dalux nr 261797,124748;131816,Ja,Nej
WO045278,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Vil ikke udlevere kakao Stopper til i mixerskål og forsøgt at rengøre men ligner det er længere nede det tilstopper ,Vil ikke udlevere kakao Stopper til i mixerskål og forsøgt at rengøre men ligner det er længere nede det tilstopper,Tænker kunde skal betale 50 % minimum ,,Ja,Ja
WO045268,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kommer næsten ingen kaffe vand ud fa maskine Lyder ikke til at den kan få tryk på vandet Melder ingen fejl ,Kommer næsten ingen kaffe vand ud fa maskine Lyder ikke til at den kan få tryk på vandet Melder ingen fejl,,108082;125446,Nej,Nej
WO045267,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC extern grums,Maskinen kan ikke give mælkedrikke almindelig kaffe er ok,Maskinen kan ikke give mælkedrikke almindelig kaffe er ok,Ikke sikker på navn men ringet fra 42 68 23 67 Hun talt dårligt dansk så er heller ikke sikker på om der kom ingen mælk eller kun lidt mælk i koppen ,,Nej,Nej
WO045252,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der er meget vand i grumseskuffen,Der er meget vand i grumseskuffen,,132102,Nej,Nej
WO045068,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Sag 2 af 4 Mælkeslange er beskidt og bør skiftes ,Sag 2 af 4 Mælkeslange er beskidt og bør skiftes,ASA Indmeldt af CD ,128896,Ja,Nej
WO045067,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sag 1 af 4 Mælkeslange er beskidt og bør skiftes ,Sag 1 af 4 Mælkeslange er beskidt og bør skiftes,ASA Indmeldt af CD ,128896,Ja,Nej
WO045069,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sag 3 af 4 Mælkeslange er beskidt og bør skiftes ,Sag 3 af 4 Mælkeslange er beskidt og bør skiftes,ASA Indmeldt af CD ,128896,Ja,Nej
WO044841,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ved eks latte smider den igen mælk i drypbakken Virkede fint efter sidste besøg men er nu begyndt på det igen ,Ved eks latte smider den igen mælk i drypbakken Virkede fint efter sidste besøg men er nu begyndt på det igen,,126285R,Nej,Nej
WO045070,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sag 4 af 4 Mælkeslange er beskidt og bør skiftes ,Sag 4 af 4 Mælkeslange er beskidt og bør skiftes,ASA Indmeldt af CD ,128896,Ja,Nej
WO045239,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskine melder flow error,Maskine melder flow error,,,Nej,Nej
WO045193,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskine BW4c på 3 sal Melder water flow error ved valg af kaffe Kværner ikke bønner Kakao udleveres OK ,Maskine BW4c på 3 salMelder water flow error ved valg af kaffe Kværner ikke bønner Kakao udleveres OK,ASA Kunde oplyser serienummer 200157621 som jeg ikke kan finde i systemet Tekniker skal derfor sætte serienummer ind i sagen Hvis der et sted er et papir eller andet med forkert serienummer skal dette kasseres ,104360,Nej,Nej
WO045187,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Alle mælkedrikke kan ikke vælges Begge maskiner deler mælk og er påfyldt samt tjekket mælkesug og forsøgt genstart ,Alle mælkedrikke kan ikke vælges Begge maskiner deler mælk og er påfyldt samt tjekket mælkesug og forsøgt genstart,Maskinen ved siden af kan de fint vælge mælkedrikke ,108082;108082;128896,Nej,Nej
WO045106,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Er i Hirtshals i dag mandag 18 25 20 00 Onsdag d 26 6 8 00 9 30 Den vil ikke fuldføre rense programmet og der kommer hele kaffebønner i grumsebeholderen Mælkekøleren bliver heller ikke kold nok ,Er i Hirtshals i dag mandag 1825 2000 Onsdag d 26 6 800 930Den vil ikke fuldføre rense programmet og der kommer hele kaffebønner i grumsebeholderenMælkekøleren bliver heller ikke kold nok,ASA Nimco er på mail info Besøg bliver onsdag af PM og JP anden WO ,,Måske,Nej
WO045109,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Er i Hirtshals i dag mandag 18 25 20 00 Onsdag d 26 6 8 00 9 30 Den udløser en masse vand under rensning Vi har kigget om kakao beholderen sidder rigtigt ,Er i Hirtshals i dag mandag 1825 2000 Onsdag d 26 6 800 930Den udløser en masse vand under rensning Vi har kigget om kakao beholderen sidder rigtigt,ASA Nimco er på mail info Besøg bliver onsdag af PM anden WO og JP ,,Måske,Nej
WO045177,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Rød rensenøgle er knækket ,Rød rensenøgle er knækket,,133555,Ja,Ja
WO045195,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao flyder over og den sprøjter meget med vand ,Kakao flyder over og den sprøjter meget med vand,ASA U B dækket af serviceaftale tages som en del af undervisning i brug af maskine Umiddelbart var ingenting gjort galt fra personalets side Thomas ved desværre ikke så meget da det er rengøring som melder det til ham Han kan kun se at maskinen ser rent ud NRB,,Ja,Nej
WO045140,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Kværnen larmer og køl er for varmt,Kværnen larmer og køl er for varmt,Meldt ind af NCB efter SMS fra Alex HKN kan ikke aflæse serie nr kun på skærm Koptæller 4043,,Nej,Nej
WO045138,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,2 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino ,2 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino,Jesper vidste ikke præcist hvad da det var en note fra køkkenpersonale NRB,,Nej,Nej
WO045139,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,1 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino ,1 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino,Jesper vidste ikke præcist hvad da det var en note fra køkkenpersonale NRB,,Nej,Nej
WO045148,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Slange fra filter til maskine er knækket ,Slange fra filter til maskine er knækket,ASA U B det er os selv har knækket det ifm filterskifte ,1449726,Måske,Nej
WO045132,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Skummer ikke mælk ved hverken latte eller cappuccino,Skummer ikke mælk ved hverken latte eller cappuccino,,120701;101224;127791,Nej,Nej
WO045127,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Ved rengøring lyder en skinger lyd Der kommer ikke vand ud af maskinen Er i tvivl om der er fejlmeddelelser Der har været skiftet filter på vand til vandhane denne vandhane kommer der vand ud af Der er åben for vandet til kaffemaskinen ,Ved rengøring lyder en skinger lyd Der kommer ikke vand ud af maskinen Er i tvivl om der er fejlmeddelelser Der har været skiftet filter på vand til vandhane denne vandhane kommer der vand ud af Der er åben for vandet til kaffemaskinen,Kundefejl Det er dem der har lukket for vandet Skal have en regning,,Ja,Ja
WO045089,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Lækker vand bagtil løbende samt foran ved slange for spildbakke Har eftersæt at der ikke er tilstoppet spildbakke ,Lækker vand bagtil løbende samt foran ved slange for spildbakke Har eftersæt at der ikke er tilstoppet spildbakke,,127140;134385,Nej,Nej
WO045080,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Maskine melder piston error Hun tror det er noget med rensetabs ,Maskine melder piston error Hun tror det er noget med rensetabs,,,Nej,Nej
WO045081,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vil ikke udlevere mælk har efterset mælkesug og der er påfyldt mælk Ingen fejl på display ,Vil ikke udlevere mælk har efterset mælkesug og der er påfyldt mælk Ingen fejl på display,,120701,Nej,Nej
WO045060,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Drypper under drypbakken Drypbakken er trykket helt ind Afløb går i kloak ,Drypper under drypbakken Drypbakken er trykket helt ind Afløb går i kloak,,,Måske,Nej
WO044946,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Udskifte låneskærm på maskine til ny skræm som er dækket under garanti OBS Maskinen skal tilsluttes WIFI Thermoplan Connect Spørg STR eller CD om yderlig information ,Udskifte låneskærm på maskine til ny skræm som er dækket under garanti OBS Maskinen skal tilsluttes WIFI Thermoplan Connect Spørg STR eller CD om yderlig information,JR SS skal sende eksisterende skærm retur på garanti Ligeledes skal låneskærm også retur ,137823,Nej,Nej
WO045017,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Har selv fjernet kaffebønne i kakao men der sidder fortsat noget fast Kan ikke selv få renset det sidste og har taget kakaobeholder af ,Har selv fjernet kaffebønne i kakao men der sidder fortsat noget fast Kan ikke selv få renset det sidste og har taget kakaobeholder af,,,Ja,Ja
WO045049,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine melder vandflow fejl Der er åbent for vand og hun har forsøgt med manuel skyl men der kommer ingenting ,Maskine melder vandflow fejl Der er åbent for vand og hun har forsøgt med manuel skyl men der kommer ingenting,Garantitæller 51034 men jeg kan ikke notere under 109k SN og lokation korrekt ,,Nej,Nej
WO045021,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved bryg af kaffe kommer der vand midt under kaffemaskine Ligner mest vand men måske lidt kaffe Har tjekket at spildbakke er sat helt ind ,Ved bryg af kaffe kommer der vand midt under kaffemaskine Ligner mest vand men måske lidt kaffe Har tjekket at spildbakke er sat helt ind,,140704,Nej,Nej
WO044952,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Flere kunder og personale har opdaget at der kommer mindre i kopperne Både kaffedrikke og thevand ,Flere kunder og personale har opdaget at der kommer mindre i kopperne Både kaffedrikke og thevand,Sagde det ikke hastede og vi blot kan kigge forbi når det passer NRB,,Nej,Nej
WO045037,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer vand ud under maskine kommer i løbet af dagen og ligner det er højre side ved kakaoen cirka ,Kommer vand ud under maskine kommer i løbet af dagen og ligner det er højre side ved kakaoen cirka,,,Ja,Nej
WO045010,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Ved mælkedrikke udleverer den ingen mælk Har efterset og renset mælkesug og forsøgt med forskellige beholdere til mælk Melder ingen fejl på display ,Ved mælkedrikke udleverer den ingen mælk Har efterset og renset mælkesug og forsøgt med forskellige beholdere til mælk Melder ingen fejl på display,,,Ja,Nej
WO045022,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Meget gerne besøg i dag Maskinen melder vandflow fejl igen Der har ikke været lukket for vandet ,Meget gerne besøg i dag Maskinen melder vandflow fejl igen Der har ikke været lukket for vandet,Meget gerne besøg i dag ,127076,Nej,Nej
WO045027,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Afløbsslange er hoppet af bagved maskine Der er kommet meget vand ud fra maskine Hun har slukket for maskine og vil gerne have hurtigt besøg ,Afløbsslange er hoppet af bagved maskine Der er kommet meget vand ud fra maskine Hun har slukket for maskine og vil gerne have hurtigt besøg,Hun mistænker om afløbsslange er for kort NRB,,Ja,Nej
WO044991,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Grumseskuffe bliver fortsat fyldt med vand kaffe ,Grumseskuffe bliver fortsat fyldt med vand kaffe,BCA mangler tid kørsel Fredag og mandag var der intet at se i grumseskuffen men kommer nu vand igen i dag NRB,125725;127140;125665,Nej,Nej
