WO,Maskinkategori,Maskinbeskrivelse,Instruktion,Short_description,Teknikker_description,Reservedele,Kundefejl_mads,Faktureret
WO046058,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Oplever igen i dag at den sporadisk ikke vil reagere på tryk på skærm Efter lidt tid vil den godt udlevere drikke og starte rengøring men reagere så ikke på tryk igen,Oplever igen i dag at den sporadisk ikke vil reagere på tryk på skærm Efter lidt tid vil den godt udlevere drikke og starte rengøring men reagere så ikke på tryk igen,Oplever igen i dag at den sporadisk ikke vil reagere på tryk på skærm Efter lidt tid vil den godt udlevere drikke og starte rengøring men reagere så ikke på tryk igen,137823R;126285R,Nej,Nej
WO046045,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer vand i grumseskuffen og motor lyder ikke godt når den brygger Kommer fint mængde kaffe ud,Kommer vand i grumseskuffen og motor lyder ikke godt når den brygger Kommer fint mængde kaffe ud,Kommer vand i grumseskuffen og motor lyder ikke godt når den brygger Kommer fint mængde kaffe ud,,Nej,Nej
WO046050,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskine melder tilkald opsynsmand Har forsøgt med genstart men kan ikke få lov at trykke på skærm eller gøre noget,Maskine melder tilkald opsynsmand Har forsøgt med genstart men kan ikke få lov at trykke på skærm eller gøre noget,Maskine melder tilkald opsynsmand Har forsøgt med genstart men kan ikke få lov at trykke på skærm eller gøre noget,126257,Ja,Nej
WO046042,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved eks stor latte fylder den kun op til mellem latte Har efterset mælkesug og havde samme oplevelse i går samt rengøring gjort i går aftes,Ved eks stor latte fylder den kun op til mellem latte Har efterset mælkesug og havde samme oplevelse i går samt rengøring gjort i går aftes,Ved eks stor latte fylder den kun op til mellem latte Har efterset mælkesug og havde samme oplevelse i går samt rengøring gjort i går aftes,134563;127605;120701,Nej,Nej
WO046040,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Utæt under rens vil ikke gennemføre rens Ingen fejlbeskeder på display Oplyser der er et lille hvidt rør vandet kommer ud af,Utæt under rens vil ikke gennemføre rens Ingen fejlbeskeder på display Oplyser der er et lille hvidt rør vandet kommer ud af,Utæt under rens vil ikke gennemføre rens Ingen fejlbeskeder på display Oplyser der er et lille hvidt rør vandet kommer ud af,127140,Nej,Nej
WO046036,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine er gået i sort og kan ikke lave kaffe mm,Maskine er gået i sort og kan ikke lave kaffe mm,Maskine er gået i sort og kan ikke lave kaffe mm,,Måske,Nej
WO045996,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer ingen skum ved valg af cappuccino sprudler kun Udlevere fint mælken Forsøgt med rens,Kommer ingen skum ved valg af cappuccino sprudler kun Udlevere fint mælken Forsøgt med rens,Kommer ingen skum ved valg af cappuccino sprudler kun Udlevere fint mælken Forsøgt med rens,,Nej,Nej
WO046018,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder at bønnebeholder er tom forsøgt at tage beholder af Samt larmer lyder mærkelig under rengøring,Melder at bønnebeholder er tom forsøgt at tage beholder af Samt larmer lyder mærkelig under rengøring,Melder at bønnebeholder er tom forsøgt at tage beholder af Samt larmer lyder mærkelig under rengøring,,Nej,Nej
WO046006,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Temperatur i køl er mål til 4 grader i bunde og 10 i toppen,Temperatur i køl er mål til 4 grader i bunde og 10 i toppen,Temperatur i køl er mål til 4 grader i bunde og 10 i toppen,,Ja,Nej
WO046003,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Skærm vil ikke reagere på tryk forsøgt genstart flere gange og startet rengøring men er nu frosset i skærm midt i rengøring,Skærm vil ikke reagere på tryk forsøgt genstart flere gange og startet rengøring men er nu frosset i skærm midt i rengøring,Skærm vil ikke reagere på tryk forsøgt genstart flere gange og startet rengøring men er nu frosset i skærm midt i rengøring,,Nej,Nej
WO045962,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine vil ikke starte Displayet er helt sort og den får strøm som den skal,Maskine vil ikke starte Displayet er helt sort og den får strøm som den skal,Maskine vil ikke starte Displayet er helt sort og den får strøm som den skal,137823,Nej,Nej
WO046009,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Slukket maskine vil ikke lave kaffe,Slukket maskine vil ikke lave kaffe,Slukket maskine vil ikke lave kaffe,,Nej,Nej
WO046004,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Røde pind i rensenøgle knækket Rengøringsprogram starter men stopper så,Røde pind i rensenøgle knækket Rengøringsprogram starter men stopper så,Røde pind i rensenøgle knækket Rengøringsprogram starter men stopper så,133555,Ja,Ja
WO046005,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Mælkerensetabs opløses ikke under rens men rens kører færdig ser det ud til maskinen vil dog ikke udlevere så de har slukket maskinen indtil vi har været forbi,Mælkerensetabs opløses ikke under rens men rens kører færdig ser det ud til maskinen vil dog ikke udlevere så de har slukket maskinen indtil vi har været forbi,Mælkerensetabs opløses ikke under rens men rens kører færdig ser det ud til maskinen vil dog ikke udlevere så de har slukket maskinen indtil vi har været forbi,,Ja,Nej
WO045999,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder vandflow fejl,Melder vandflow fejl,Melder vandflow fejl,,Nej,Nej
WO046001,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,INdmeldt telefonisk 71 24 18 24 Laver kun halve kopper,INdmeldt telefonisk 71 24 18 24 Laver kun halve kopper,INdmeldt telefonisk 71 24 18 24 Laver kun halve kopper,,Ja,Nej
WO045943,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Giver ingen mælk til mælkedrikke,Giver ingen mælk til mælkedrikke,Giver ingen mælk til mælkedrikke,,Nej,Nej
WO045990,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine melder waterflow error men vil godt lave skyld og americano Udleverer ikke kakao og heller ikke altid mælk Har forsøgt med rengøring og genstart,Maskine melder waterflow error men vil godt lave skyld og americano Udleverer ikke kakao og heller ikke altid mælk Har forsøgt med rengøring og genstart,Maskine melder waterflow error men vil godt lave skyld og americano Udleverer ikke kakao og heller ikke altid mælk Har forsøgt med rengøring og genstart,,Nej,Nej
WO045979,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskinen er utæt under rens der kommer ret meget vand ud under maskinen De har sat en lille spand til at opsamle det,Maskinen er utæt under rens der kommer ret meget vand ud under maskinen De har sat en lille spand til at opsamle det,Maskinen er utæt under rens der kommer ret meget vand ud under maskinen De har sat en lille spand til at opsamle det,,Måske,Nej
WO045940,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kakao bliver kun udleveret i en meget tynd stråle drypper kun Har haft mixerskål ude og rense,Kakao bliver kun udleveret i en meget tynd stråle drypper kun Har haft mixerskål ude og rense,Kakao bliver kun udleveret i en meget tynd stråle drypper kun Har haft mixerskål ude og rense,,Ja,Nej
WO045955,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Vil ikke registrere rød rensenøgle Rød pind ser indtagt ud,Vil ikke registrere rød rensenøgle Rød pind ser indtagt ud,Vil ikke registrere rød rensenøgle Rød pind ser indtagt ud,133555,Ja,Ja
WO045964,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Rød rensenøgle vil ikke registreres Pind er muligvis knækket,Rød rensenøgle vil ikke registreres Pind er muligvis knækket,Rød rensenøgle vil ikke registreres Pind er muligvis knækket,133555,Ja,Ja
WO045966,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Skærm flimre,Skærm flimre,Skærm flimre,02816,Nej,Nej
WO045967,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Skærm flimre,Skærm flimre,Skærm flimre,02816,Nej,Nej
WO045952,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Skift af skærm,Skift af skærm,Skift af skærm,137823,Nej,Nej
WO045956,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,1 ud af 2 Skærm flimre har forsøgt med genstart,1 ud af 2 Skærm flimre har forsøgt med genstart,1 ud af 2 Skærm flimre har forsøgt med genstart,02816,Nej,Nej
WO045957,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,2 ud af 2 Skærm flimre har forsøgt med genstart,2 ud af 2 Skærm flimre har forsøgt med genstart,2 ud af 2 Skærm flimre har forsøgt med genstart,02816,Nej,Nej
WO045929,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Gengangerfejl Utæt kakao beholder pulveret siver ud og lander på gulvet,Gengangerfejl Utæt kakao beholder pulveret siver ud og lander på gulvet,Gengangerfejl Utæt kakao beholder pulveret siver ud og lander på gulvet,127605,Måske,Nej
WO045935,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,indmeldt telefonisk 26733440 melder vandflow fejl der er tændt for vandet ,indmeldt telefonisk 26733440 melder vandflow fejl der er tændt for vandet ,indmeldt telefonisk 26733440 melder vandflow fejl der er tændt for vandet ,104360,Nej,Nej
WO045910,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Vil ikke udlevere mælk Har efterset mælkesug og er påfyldt mælk Melder ingen fejl på display,Vil ikke udlevere mælk Har efterset mælkesug og er påfyldt mælk Melder ingen fejl på display,Vil ikke udlevere mælk Har efterset mælkesug og er påfyldt mælk Melder ingen fejl på display,,Måske,Nej
WO045923,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kommer ikke nok mælk ud ved cappuccino og latte Har eftersæt mælkesug og kørt rens,Kommer ikke nok mælk ud ved cappuccino og latte Har eftersæt mælkesug og kørt rens,Kommer ikke nok mælk ud ved cappuccino og latte Har eftersæt mælkesug og kørt rens,,Måske,Nej
WO045891,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskine melder vandflow fejl der er tændt for vandet,Maskine melder vandflow fejl der er tændt for vandet,Maskine melder vandflow fejl der er tændt for vandet,101984,Nej,Nej
WO045901,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Pind ved rød rensenøgle er knækket og de kan ikke lave rengøring Står til at skulle have rengøring om ca 4 timer,Pind ved rød rensenøgle er knækket og de kan ikke lave rengøring Står til at skulle have rengøring om ca 4 timer,Pind ved rød rensenøgle er knækket og de kan ikke lave rengøring Står til at skulle have rengøring om ca 4 timer,133555,Ja,Ja
WO045919,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Kontakt Gitte vil gerne vide hvornår besøg bliver Melder vandflowfejl vil godt udlevere thevand men ingen kaffe og fejler ved rengøring Er åbent for vand,Kontakt Gitte vil gerne vide hvornår besøg bliver Melder vandflowfejl vil godt udlevere thevand men ingen kaffe og fejler ved rengøring Er åbent for vand,Kontakt Gitte vil gerne vide hvornår besøg bliver Melder vandflowfejl vil godt udlevere thevand men ingen kaffe og fejler ved rengøring Er åbent for vand,127605;104358,Måske,Nej
WO045861,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Smider vand under rens og ved bryg af kakao kommer der også vand under maskinen ved kakao Har tjekket at kakaomixer og tud sidder korrekt samt spildbakke helt ind til maskinen,Smider vand under rens og ved bryg af kakao kommer der også vand under maskinen ved kakao Har tjekket at kakaomixer og tud sidder korrekt samt spildbakke helt ind til maskinen,Smider vand under rens og ved bryg af kakao kommer der også vand under maskinen ved kakao Har tjekket at kakaomixer og tud sidder korrekt samt spildbakke helt ind til maskinen,,Ja,Nej
WO045798,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kommer meget vand i grumseskuffen,Kommer meget vand i grumseskuffen,Kommer meget vand i grumseskuffen,125033R,Nej,Nej
WO045852,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Vil ikke give mælk,Vil ikke give mælk,Vil ikke give mælk,,Måske,Nej
WO045747,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kan ikke lave kakao og det drypper med vand under bunden af maskinen midt bagerst,Kan ikke lave kakao og det drypper med vand under bunden af maskinen midt bagerst,Kan ikke lave kakao og det drypper med vand under bunden af maskinen midt bagerst,131816;140435;125664,Ja,Nej
WO045850,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Ved renseprogram er den begyndt ikke at bede om kaffetabs Kan se at noget er knækket ved røde rensenøgle men vil umiddelbart godt registrere rensenøgle,Ved renseprogram er den begyndt ikke at bede om kaffetabs Kan se at noget er knækket ved røde rensenøgle men vil umiddelbart godt registrere rensenøgle,Ved renseprogram er den begyndt ikke at bede om kaffetabs Kan se at noget er knækket ved røde rensenøgle men vil umiddelbart godt registrere rensenøgle,133555,Ja,Nej
WO045796,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ved Latte og Flat white kommer der ikke nok mælk i koppen Udlevere fint mængde i cappuccino Efterset mælkesug og beholder er fyldt,Ved Latte og Flat white kommer der ikke nok mælk i koppen Udlevere fint mængde i cappuccino Efterset mælkesug og beholder er fyldt,Ved Latte og Flat white kommer der ikke nok mælk i koppen Udlevere fint mængde i cappuccino Efterset mælkesug og beholder er fyldt,,Nej,Nej
WO045797,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Maskinen i midten I sidste step under rens løber det med vand ud fra maskine,Maskinen i midten I sidste step under rens løber det med vand ud fra maskine,Maskinen i midten I sidste step under rens løber det med vand ud fra maskine,,Nej,Nej
WO045803,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Har rengjort maskine 2 gange men ligner der fortsat sidder mælkerester i slangerne efter de er rengjort,Har rengjort maskine 2 gange men ligner der fortsat sidder mælkerester i slangerne efter de er rengjort,Har rengjort maskine 2 gange men ligner der fortsat sidder mælkerester i slangerne efter de er rengjort,128896,Ja,Nej
WO045844,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Mælkefunktionen er ude af drift,Mælkefunktionen er ude af drift,Mælkefunktionen er ude af drift,,Nej,Nej
WO045342,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Skærm er sort men reagere på tryk og laver kaffe Er guidet til genstart ved afbryder bag grumseskuffe Er fortsat sort Slukker maskinen på afbryder og tager stikket ud,Skærm er sort men reagere på tryk og laver kaffe Er guidet til genstart ved afbryder bag grumseskuffe Er fortsat sort Slukker maskinen på afbryder og tager stikket ud,Skærm er sort men reagere på tryk og laver kaffe Er guidet til genstart ved afbryder bag grumseskuffe Er fortsat sort Slukker maskinen på afbryder og tager stikket ud,137823,Nej,Nej
WO045712,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Efter sidste besøg lavede den latte fint Men samme dag begyndte den igen at hælde mælk i drypbakken umiddelbart kun ved latte ikke ved eks cappuccino,Efter sidste besøg lavede den latte fint Men samme dag begyndte den igen at hælde mælk i drypbakken umiddelbart kun ved latte ikke ved eks cappuccino,Efter sidste besøg lavede den latte fint Men samme dag begyndte den igen at hælde mælk i drypbakken umiddelbart kun ved latte ikke ved eks cappuccino,,Nej,Nej
WO045768,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Melder at bønnebeholder er tom ved sort kaffe Har forsøgt at tømme og påfylde bønner på ny samt haft beholder af,Melder at bønnebeholder er tom ved sort kaffe Har forsøgt at tømme og påfylde bønner på ny samt haft beholder af,Melder at bønnebeholder er tom ved sort kaffe Har forsøgt at tømme og påfylde bønner på ny samt haft beholder af,,Ja,Nej
WO045764,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC MDB interface,Vil ikke starte rengøring og melder at de skal sikre sig at alt er isat korrekt Hvis de siger ok stopper den stadig i rengøring Har forsøgt med genstart Har også meldt at mælketemperatur er for høj,Vil ikke starte rengøring og melder at de skal sikre sig at alt er isat korrekt Hvis de siger ok stopper den stadig i rengøring Har forsøgt med genstart Har også meldt at mælketemperatur er for høj,Vil ikke starte rengøring og melder at de skal sikre sig at alt er isat korrekt Hvis de siger ok stopper den stadig i rengøring Har forsøgt med genstart Har også meldt at mælketemperatur er for høj,,Måske,Ja
WO045776,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kunden melder maskinen ikke vil udlevere kakaodrikke Motoren kører ikke,Kunden melder maskinen ikke vil udlevere kakaodrikke Motoren kører ikke,Kunden melder maskinen ikke vil udlevere kakaodrikke Motoren kører ikke,,Ja,Ja
WO045729,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Røde rensenøgle pind er knækket,Røde rensenøgle pind er knækket,Røde rensenøgle pind er knækket,133555,Ja,Ja
WO045706,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Vil ikke udlevere mælk Har efterset mælkesug som er rent og kørt ekstra rengøringsprogram Ligner at der måske sidder noget længere oppe i mælkeslangen,Vil ikke udlevere mælk Har efterset mælkesug som er rent og kørt ekstra rengøringsprogram Ligner at der måske sidder noget længere oppe i mælkeslangen,Vil ikke udlevere mælk Har efterset mælkesug som er rent og kørt ekstra rengøringsprogram Ligner at der måske sidder noget længere oppe i mælkeslangen,120701,Nej,Nej
WO045713,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao stopper til,Kakao stopper til,Kakao stopper til,,Ja,Ja
WO045448,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Skærmen er sort Hvis de rammer der hvor kaffeikon er udleverer den kaffe,Skærmen er sort Hvis de rammer der hvor kaffeikon er udleverer den kaffe,Skærmen er sort Hvis de rammer der hvor kaffeikon er udleverer den kaffe,137823,Nej,Nej
WO045657,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Skift af mælkeslange og tilret længde på maskine indstillinger,Skift af mælkeslange og tilret længde på maskine indstillinger,Skift af mælkeslange og tilret længde på maskine indstillinger,,Måske,Nej
WO045666,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer ingen mælk ud eks ved latte og har efterset mælkesug,Kommer ingen mælk ud eks ved latte og har efterset mælkesug,Kommer ingen mælk ud eks ved latte og har efterset mælkesug,126326,Nej,Nej
WO045634,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Vand løber over ved kakao har forsøgt at rengøre mixerskål,Vand løber over ved kakao har forsøgt at rengøre mixerskål,Vand løber over ved kakao har forsøgt at rengøre mixerskål,,Ja,Ja
WO045632,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Maskine melder piston error og vil ikke køre rens,Maskine melder piston error og vil ikke køre rens,Maskine melder piston error og vil ikke køre rens,,Nej,Nej
WO045640,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Rød stift knækket i rensenøgle,Rød stift knækket i rensenøgle,Rød stift knækket i rensenøgle,133555,Ja,Ja
WO045490,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen lækker vand ned i grumseskuffen,Maskinen lækker vand ned i grumseskuffen,Maskinen lækker vand ned i grumseskuffen,128710;128720,Nej,Nej
WO045581,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer ingen mælk ved mælkedrikke Har efterset mælkesug og mælk i beholder,Kommer ingen mælk ved mælkedrikke Har efterset mælkesug og mælk i beholder,Kommer ingen mælk ved mælkedrikke Har efterset mælkesug og mælk i beholder,128896,Ja,Nej
WO045583,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Der er mug i mælkeslangenNiels Jernes Vej 12 Novi 2 Køkken,Der er mug i mælkeslangenNiels Jernes Vej 12 Novi 2 Køkken,Der er mug i mælkeslangenNiels Jernes Vej 12 Novi 2 Køkken,140720,Ja,Nej
WO045573,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Utæt under rens Løber ud under maskinen,Utæt under rens Løber ud under maskinen,Utæt under rens Løber ud under maskinen,,Ja,Nej
WO045586,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder vandflow fejl Indmeldt af afløser 50 16 36 80,Melder vandflow fejl Indmeldt af afløser 50 16 36 80,Melder vandflow fejl Indmeldt af afløser 50 16 36 80,104360,Nej,Nej
WO045541,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Melder at den mangler bønnerTjek om netværksforbindelse er etableret Kan se den i TP Connect om den ikke er online,Melder at den mangler bønnerTjek om netværksforbindelse er etableret Kan se den i TP Connect om den ikke er online,Melder at den mangler bønnerTjek om netværksforbindelse er etableret Kan se den i TP Connect om den ikke er online,,Ja,Nej
WO045584,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kommer vand ud under maskine højre side Ligner at det kommer inde ved grumsebakken,Kommer vand ud under maskine højre side Ligner at det kommer inde ved grumsebakken,Kommer vand ud under maskine højre side Ligner at det kommer inde ved grumsebakken,,Nej,Nej
WO043251,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder at der ingen mælk er i beholder og under rens kommer der vand midt under maskine ligner sæbevand,Melder at der ingen mælk er i beholder og under rens kommer der vand midt under maskine ligner sæbevand,Melder at der ingen mælk er i beholder og under rens kommer der vand midt under maskine ligner sæbevand,,Nej,Nej
WO045503,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Lækker vand under bunden Mest i højre side,Lækker vand under bunden Mest i højre side,Lækker vand under bunden Mest i højre side,,Måske,Nej
WO045563,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,2 gange imens der udleveres kaffe er der meldt komponentfejl 1 gang i forbindelse med rengøring er der meldt komponentfejl,2 gange imens der udleveres kaffe er der meldt komponentfejl 1 gang i forbindelse med rengøring er der meldt komponentfejl,2 gange imens der udleveres kaffe er der meldt komponentfejl 1 gang i forbindelse med rengøring er der meldt komponentfejl,101044;129071;127140;128896;120701;120701,Nej,Nej
WO045502,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder vandflowfejl ifm rengøringsprogram Har startet rengøringsprogram forfra begge tabletter var opløst Ved ikke hvilket trin den kom til,Melder vandflowfejl ifm rengøringsprogram Har startet rengøringsprogram forfra begge tabletter var opløst Ved ikke hvilket trin den kom til,Melder vandflowfejl ifm rengøringsprogram Har startet rengøringsprogram forfra begge tabletter var opløst Ved ikke hvilket trin den kom til,,Måske,Nej
WO045506,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Efter service larmer den lige når den starter med at brygge Den er blevet langsomere til at brygge kaffeFerielukket uge 29+30,Efter service larmer den lige når den starter med at brygge Den er blevet langsomere til at brygge kaffeFerielukket uge 29+30,Efter service larmer den lige når den starter med at brygge Den er blevet langsomere til at brygge kaffeFerielukket uge 29+30,,Nej,Nej
WO045549,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,2 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm Inden den gik i sort skrev maskinen noget med varme til vand,2 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm Inden den gik i sort skrev maskinen noget med varme til vand,2 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm Inden den gik i sort skrev maskinen noget med varme til vand,,Måske,Nej
WO045548,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,1 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm,1 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm,1 af 2 Meget gerne besøg snarest muligt i dag Begge maskiner er gået i sort De har tjekket strøm,,Ja,Nej
WO045524,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Der er meget vand i grumsebakke,Der er meget vand i grumsebakke,Der er meget vand i grumsebakke,,Nej,Nej
WO045540,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Siger milk temp to high Siger køleskabet er koldt,Siger milk temp to high Siger køleskabet er koldt,Siger milk temp to high Siger køleskabet er koldt,,Nej,Ja
WO045487,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Der løber væske ud af maskinen Drypbakke er skubbet helt ind Har prøvet at rengøre drypbakke måske noget sidder ved afløbshul hvor drypbakkeudløb skal være,Der løber væske ud af maskinen Drypbakke er skubbet helt ind Har prøvet at rengøre drypbakke måske noget sidder ved afløbshul hvor drypbakkeudløb skal være,Der løber væske ud af maskinen Drypbakke er skubbet helt ind Har prøvet at rengøre drypbakke måske noget sidder ved afløbshul hvor drypbakkeudløb skal være,,Ja,Ja
WO045513,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Fejlkode 9 Statusstyreenhed har registreret et problem Kunden har forsøgt at slukke og tænde Alle ikoner for mælkedrikke er forsvundet fra skærmen Hun har kun Americano og et par andre,Fejlkode 9 Statusstyreenhed har registreret et problem Kunden har forsøgt at slukke og tænde Alle ikoner for mælkedrikke er forsvundet fra skærmen Hun har kun Americano og et par andre,Fejlkode 9 Statusstyreenhed har registreret et problem Kunden har forsøgt at slukke og tænde Alle ikoner for mælkedrikke er forsvundet fra skærmen Hun har kun Americano og et par andre,104797,Nej,Nej
WO045476,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Når de tager drikke melder den komponentfejl Når de starter rengøring stopper den ca halvvejs i rengøringsprogrammet,Når de tager drikke melder den komponentfejl Når de starter rengøring stopper den ca halvvejs i rengøringsprogrammet,Når de tager drikke melder den komponentfejl Når de starter rengøring stopper den ca halvvejs i rengøringsprogrammet,,Måske,Nej
WO045472,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Melder tom på beholder 1 Pal for åbning af beholder kan ikke dreje mere imod åben,Melder tom på beholder 1 Pal for åbning af beholder kan ikke dreje mere imod åben,Melder tom på beholder 1 Pal for åbning af beholder kan ikke dreje mere imod åben,125033R,Nej,Nej
WO045478,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,indmeldt af kvinde 96 52 59 00 Maskinen er utæt under bunden og vil ikke suge mælk op Hun har tjekket at sien i bunden af mælkeslangen er ren,indmeldt af kvinde 96 52 59 00 Maskinen er utæt under bunden og vil ikke suge mælk op Hun har tjekket at sien i bunden af mælkeslangen er ren,indmeldt af kvinde 96 52 59 00 Maskinen er utæt under bunden og vil ikke suge mælk op Hun har tjekket at sien i bunden af mælkeslangen er ren,120701;125723,Nej,Nej
WO045511,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Skift af backup batteri,Skift af backup batteri,Skift af backup batteri,02816,Nej,Nej
